Address,City,State,Sale Status,Sale Category,Property Type,Rating,Land Area (AC),Land Area (SF),Sale Price,Price/Land (SF),Price Per AC Land,Days On Market,Sale Type,Name,Listing Broker Company,Sale Company Contact,Zoning,Market,Submarket,Zip,County,Longitude,Latitude
Deep Hold Rd,Calverton,NY,Active,Land Sale,Land,2,20,871200,"599,000",0.69,"29,950.00",464,Owner User,20 Acres Agricultural Organic Land,Syma Joffe Gerard,Syma Gerard,APZ,Long Island (New York),Eastern Suffolk,11933,Suffolk,-72.7261609,40.9363433
429 Bostwick Rd,Ithaca,NY,Active,Land Sale,Land,2,19.83,863794,"3,000,000",3.47,"151,286.00",176,Investment or Owner User,,Lodgers Rentals,Hindi German,Agricultural,Other Market Areas,Ithaca/Elmira NY,14850-9352,Tompkins,-76.56271,42.41955
322 W Forest Grove Rd,Vineland,NJ,Active,Land Sale,Land,,19.32,841579,"159,900",0.19,"8,276.00",116,Investment,322 West Forest Grove Road,Collini Real Estate,Justin Selby,UEZ,Philadelphia,Vineland/Bridgeton,8360,Cumberland,-75.028868,39.528418
2107 Chamberlain Hwy,Berlin,CT,Active,Land Sale,Land,2,19.27,839401,"625,000",0.75,"32,434.00",427,Investment,Land/Chamberlain Highway,Commercial Real Estate Group,Jim Neckermann,,Hartford,Berlin Outlying,06037-3910,Hartford,-72.80202,41.581307
369 Route 40,Carneys Point,NJ,Active,Land Sale,Land,,18,784080,"990,000",1.26,"55,000.00",28,Investment,,COMPASS,Natalie Jeker,,Philadelphia,Salem County,08069-5027,Salem,-75.4684292,39.6785042
102 Heiser Rd,Port Murray,NJ,Active,Land Sale,Land,,16.9,736163,"170,000",0.23,"10,059.00",65,Investment or Owner User,,Century 21 North Warren Realty,John Abromitis,,Northern New Jersey,Warren County,07865-4015,Warren,-74.879361,40.7984699
1 Panther Rd,Vineland,NJ,Active,Land Sale,Land,,14.68,639460,"440,000",0.69,"29,973.00",57,Investment,,Century 21 Alliance,Ellen Lanciano,,Philadelphia,Vineland/Bridgeton,8361,Cumberland,-74.9444982,39.4618259
14 Marter Ave,Mount Laurel,NJ,Active,Land Sale,Land,,14.38,626392,"399,900",0.64,"27,809.00",11,Investment,,Keller Williams Realty,James Moffa,,Philadelphia,South Burlington County,8054,Burlington,-74.908722,39.9539012
Deturksville Rd,Pine Grove,PA,Active,Land Sale,Land,2,14.3,622908,"489,000",0.79,"34,196.00",611,Investment or Owner User,,,,AG,Philadelphia,Schuylkill County,17963,Schuylkill,-76.3069793,40.5822
2215 Chamberlain Hwy,Berlin,CT,Active,Land Sale,Land,,14.18,617680,"600,000",0.97,"42,313.00",172,Investment or Owner User,,Chozick Realty Inc.,Tess Cullen,POD,Hartford,Berlin Outlying,6037,Hartford,-72.80424,41.57759
92 Millhurst Rd,Manalapan,NJ,Active,Land Sale,Land,2,14.01,610275,"1,650,000",2.7,"117,773.00",1239,Investment or Owner User,Farmland/Nursery,Stafford Smith Realty,Ray Smith,,Northern New Jersey,Western Monmouth,07726-4015,Monmouth,-74.343754,40.278619
1667 E Canal Rd,Dover,PA,Under Contract,Land Sale,Land,2,13,566280,"699,000",1.23,"53,769.00",338,Investment,,"Rock Commercial Real Estate, LLC",Naomi Brown,R-1,Philadelphia,York County,17315-3603,York,-76.83754,40.00621
150 Timberlane Rd,Clarksboro,NJ,Active,Land Sale,Land,2,12.7,553212,"275,000",0.5,"21,654.00",22,Investment,,RE/MAX Connection,Jason Lepore,,Philadelphia,Gloucester County,8020,Gloucester,-75.23907,39.81266
1008 Rt 31,East Amwell,NJ,Active,Land Sale,Land,2,11.47,499633,"420,000",0.84,"36,617.00",456,Owner User,,Coldwell Banker Commercial NRT,James Robinson,,Northern New Jersey,Hunterdon,8551,Hunterdon,-74.858089,40.4436356
2625 Tract Rd,Fairfield,PA,Under Contract,Land Sale,Land,,10.63,463042,"450,000",0.97,"42,333.00",171,Investment or Owner User,,"Miller & Associates Real Estate, LLC",Marty Miller,Agricultural,Philadelphia,Adams County,17320,Adams,-77.34236,39.73089
543 Oakshade Rd,Shamong,NJ,Active,Land Sale,Land,,10,435600,"815,000",1.87,"81,500.00",226,Investment,,RE/MAX One,Daniel Hullings,Agricultral,Philadelphia,South Burlington County,08088-9532,Burlington,-74.77218,39.80018
16 Satterlee Hollow Rd,Berlin,NY,Active,Land Sale,Land,,10,435600,"10,000,000",22.96,"1,000,000.00",262,Investment,Sustainable Aquafarms,Sustainable Aquafarms,Dan DeGirolamo,Agriculture,Albany/Schenectady/Troy,Outer Rensselaer County,12022-2424,Rensselaer,-73.37536,42.700537
14017 Smith Rd Wolcott Ny 14590 & 0 Bay Rd Sterling Ny,Wolcott,NY,Active,Land Sale,Land,2,9.56,416433,"59,900",0.14,"6,266.00",414,Investment or Owner User,2 Adjacent Lots,RE/MAX Plus,Matthew Caternolo,Agricultural/Residential,Rochester,Wayne County,14590,Wayne,-76.720458,43.312215
250-252 Old Turnpike Rd,Califon,NJ,Active,Land Sale,Land,2,9.4,409464,"495,000",1.21,"52,660.00",539,Investment,,Blau & Berg Co.,Christopher Chiusolo,HL,Northern New Jersey,Route 78 West,7830,Hunterdon,-74.77455,40.73155
Assemblyman R Stephen Hawley Dr,Batavia,NY,Active,Land Sale,Land,2,9.34,406850,"905,000",2.22,"96,895.00",142,Investment or Owner User,,Cushman and Wakefield/Pyramid Brokerage Company,John Manilla,,Other Market Areas,Rochester Other Areas NY,14020,Genesee,-78.1407251,43.0143627
Route 23,Claverack,NY,Active,Land Sale,Land,2,8.7,378971,"89,000",0.24,"10,230.00",594,Investment,"Route 23 and Old Barrington Road, Lot #7",TKG The Kinderhook Group Hudson,Victor Mendolia,Rural Conservation,Albany/Schenectady/Troy,Columbia County,12513,Columbia,-73.7331024,42.2229443
575 Nazareth Pike,Nazareth,PA,Active,Land Sale,Land,3,7.63,332362,"425,000",1.28,"55,701.00",605,Investment,,"Boutique One Properties, LLC",Garrett Benner,18A,Philadelphia,Lehigh Valley,18064,Northampton,-75.3243637,40.7139975
657 Spotswood Englishtown Rd,Monroe Township,NJ,Active,Land Sale,Land,2,7,304920,"1,100,000",3.61,"157,143.00",1806,Investment,Brunswick Nursery,Century 21 Burke Realty,John Burke,,Northern New Jersey,Brunswick,08831-2922,Middlesex,-74.375836,40.320562
Deep Hole Rd,Calverton,NY,Active,Land Sale,Land,2,6,261360,"575,000",2.2,"95,833.00",826,Investment,,Syma Joffe Gerard,Syma Gerard,,Long Island (New York),Eastern Suffolk,11933,Suffolk,-72.7274091,40.938026
282 Rt 79,Morganville,NJ,Under Contract,Land Sale,Land,2,6,261360,"750,000",2.87,"125,000.00",428,Investment,,Sitar Company,"William Sitar, Sr",C-50,Northern New Jersey,Western Monmouth,7751,Monmouth,-74.2481538,40.356882
105 Brookfield Ave,Center Moriches,NY,Under Contract,Land Sale,Land,2,5.5,239580,"375,000",1.57,"68,182.00",568,Investment or Owner User,3 Lot Subdivision   Total 5.5 Acres,Century 21 Cor-Ace Realty,Anthony Liberti,Residential,Long Island (New York),Eastern Suffolk,11934-2201,Suffolk,-72.80079,40.80759
Forked Neck Road Rd,Shamong Township,NJ,Active,Land Sale,Land,,5,217800,"800,000",3.67,"160,000.00",68,Investment or Owner User,Cannabis or Solar,LEP Commercial Real Estate LLC,Linda Perez,AP,Philadelphia,South Burlington County,8088,Burlington,-74.7068811,39.8039393
1001 Gravel Pike,Pennsburg,PA,Active,Land Sale,Land,2,3.41,148539,"525,000",3.53,"153,959.00",912,Investment or Owner User,1001 Gravel Pike,Continental Realty Company Inc.,Joseph Tarantino,,Philadelphia,West Montgomery County,18073,Montgomery,-75.4821528,40.359105
490 Cross St,Lakewood,NJ,Active,Land Sale,Land,,2.67,116305,"2,250,000",19.35,"842,697.00",161,Investment or Owner User,Block 490 - Lots 34 & 29 Lakewood,Crossroads Realty Inc.,Mark Kotzas,A-1,Northern New Jersey,Ocean County,8701,Ocean,-74.243077,40.0698054
River Rd,Rome,NY,Active,Land Sale,Land,,2.28,99316,"79,000",0.8,"34,649.00",163,Investment or Owner User,,Berkshire Hathaway CNY Realty,Matthew Pryputniewicz,,Utica/Rome,Greater Rome,13440,Oneida,-75.3688883,43.198761
114 Emleys Hill Rd,Cream Ridge,NJ,Under Contract,Land Sale,Land,,2,87120,"215,000",2.47,"107,500.00",80,Investment or Owner User,2 Acre Building Lot in Rural Cream Ridge Area,Max Spann Real Estate & Auction Company,Robert Dann,AR,Northern New Jersey,Western Monmouth,08514-1616,Monmouth,-74.494019,40.152157
18 Old Birch Rd,Stafford Springs,CT,Active,Land Sale,Land,,1.3,56628,"49,900",0.88,"38,385.00",141,Owner User,,Research in Progress,Research In Progress,,Hartford,Tolland County,06076-4028,Tolland,-72.381214,41.948195
1025 Black Horse Pike,Pleasantville,NJ,Active,Land Sale,Land,,1,43560,,,,7,Investment,,Katz & Associates,Brian Katz,,Philadelphia,Atlantic City/Hammonton,8232,Atlantic,-74.5430197,39.3936126
Harvey Rd,Grand Island,NY,Active,Land Sale,Land,2,0.78,33976,"20,000",0.59,"25,641.00",647,Investment or Owner User,V/L Harvey Rd,Howard Hanna Real Estate Services,Carmen Laurendi,,Buffalo/Niagara Falls,North,14072,Erie,-78.9255301,43.0150189
