Property Address,Property City,Property State,Property Type,Land Area AC,Land Area SF,Star Rating,Sale Price,Sale Date,Sale Status,Asking Price,Price Per AC Land,Price Per SF Land,Property Name,Buyer (True) Company,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Seller (True) Origin,Listing Broker Company,Secondary Type,Zoning,Submarket Name,Location Type,Property County,Property Zip Code,Corner,Map Code,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Longitude,Latitude
7982 Mile Square Rd,South Rutland,NY,Land,16.8,731808,,"$34,000 ",1/14/2021,Sold,,"2,023.81",0.05,,,,,,,,Agricultural,,Upstate New York Area,Suburban,Lewis,13626-1362,,,1/21/2021,2/3/2021,,,Public Record,-75.70176,43.81811
56611 Farrington Rd,Spartansburg,PA,Land,48.66,2119629,,,1/14/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,16434-1643,,,2/10/2021,3/8/2021,,,Public Record,-79.64277,41.74685
6128 Dawson Rd,Cortland,NY,Land,27.1,1180476,,,1/14/2021,Sold,,,,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13045-1304,,,1/26/2021,2/5/2021,,,Public Record,-76.08377,42.70514
39 Conestoga Manor Trailer Ct,Brownstown,PA,Land,35.9,1563804,,,1/14/2021,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17540-1754,,,1/19/2021,1/29/2021,,,Public Record,-76.23309,40.11946
T-367,Parker,PA,Land,156.5,6817140,,"$300,000 ",1/13/2021,Sold,,"1,916.93",0.04,,,,,,,,Agricultural,,,Suburban,Clarion,,,,1/21/2021,2/9/2021,,,Public Record,-79.54897,41.10436
655 Barrett Rd,Gillett,PA,Land,111,4835160,,"$280,000 ",1/13/2021,Sold,,"2,522.52",0.06,,,,,,,,Agricultural,,,Suburban,Bradford,16925-1692,,,1/19/2021,2/8/2021,,,Public Record,-76.86993,41.9581
120 Bell Rd,Rimersburg,PA,Land,190,8276400,,"$108,000 ",1/13/2021,Sold,,568.42,0.01,,,,,,,,Agricultural,,,Suburban,Clarion,,,,1/25/2021,2/18/2021,,,Public Record,-79.51048,41.02733
618 Lavalley Rd,Champlain,NY,Land,62.3,2713788,,"$60,000 ",1/13/2021,Sold,,963.08,0.02,,,,,,,,Agricultural,,,Suburban,Clinton,12919-1291,,,1/20/2021,2/8/2021,,,Public Record,-73.49715,44.93243
51610 S Wayland Rd,Meadville,PA,Land,26.47,1153033,,"$1,190 ",1/13/2021,Sold,,44.96,0,,,,,,,,Agricultural,,,Suburban,Crawford,16335-1633,,,1/13/2021,2/9/2021,,,Public Record,-80.05588,41.60569
420 Cove Rd,Washington,PA,Land,1.13,49418,,,1/13/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/19/2021,2/2/2021,,,Public Record,-80.2626,40.12351
9470 Upper Little Creek Rd,Bangor,PA,Land,4.12,179467,,"$460,000 ",1/12/2021,Sold,,"111,650.61",2.56,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18013-1801,,,1/12/2021,1/27/2021,,,Public Record,-75.1723,40.82164
300 3rd St,Brownsville,PA,Land,0.2,8712,,"$225,000 ",1/12/2021,Sold,,"1,125,000.00",25.83,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/2/2021,2/22/2021,,,Public Record,-79.88474,40.03522
4835 Scrabble Hill Rd,Collins,NY,Land,72.54,3159842,,"$200,000 ",1/12/2021,Sold,,"2,757.10",0.06,,,,,,,,Agricultural,,Outlying Erie County,Suburban,Erie,14034-1403,,,1/15/2021,2/16/2021,,,Public Record,-78.79767,42.4892
193 Dibble Rd,Hobart,NY,Land,8.5,370260,,"$85,000 ",1/12/2021,Sold,,"10,000.00",0.23,,,,,,,,Agricultural,,,Suburban,Delaware,12167-1378,,,1/21/2021,2/17/2021,,,Public Record,-74.68018,42.40617
284 Whitmarsh Hollow Rd,Candor,NY,Land,18.62,811087,,"$14,377 ",1/12/2021,Sold,,772.13,0.02,,,,,,,,Agricultural,,,Suburban,Tioga,13743-1374,,,1/15/2021,2/9/2021,,,Public Record,-76.34561,42.17251
57293 Wheeler Rd,Linesville,PA,Land,40,1742400,,,1/12/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,16424-1642,,,1/21/2021,2/10/2021,,,Public Record,-80.42309,41.68609
1231 Mt Pleasant Rd,Bangor,PA,Land,3.93,171190,,,1/12/2021,Sold,,,,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18013-1801,,,1/12/2021,1/27/2021,,,Public Record,-75.17472,40.82397
840 Searles Hill Rd,Bainbridge,NY,Land,44.08,1920124,,"$525,000 ",1/11/2021,Sold,,"11,910.17",0.27,,,,,,,,Agricultural,,,Suburban,Chenango,13733-1373,,,1/15/2021,2/10/2021,,,Public Record,-75.47964,42.32011
560 Sugar Camp Rd,Venetia,PA,Land,0.5,21780,,"$401,000 ",1/11/2021,Sold,,"802,000.00",18.41,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/10/2021,3/1/2021,,,Public Record,-80.04937,40.28222
550 Park Dr,Mountain Top,PA,Land,2.29,99752,,,1/11/2021,Sold,,,,,,,,,,,Agricultural,,I-81 Corridor,Suburban,Luzerne,18707-1870,,,2/5/2021,3/3/2021,,,Public Record,-75.95245,41.1324
384 Park Dr,Mountain Top,PA,Land,0.46,20037,,,1/11/2021,Sold,,,,,,,,,,,Agricultural,,I-81 Corridor,Suburban,Luzerne,18707-1870,,,2/5/2021,3/3/2021,,,Public Record,-75.95574,41.13231
679 Argersinger Rd,Fultonville,NY,Land,57.2,2491632,,,1/11/2021,Sold,,,,,,,,,,,Agricultural,,Montgomery County,Suburban,Montgomery,12072-1207,,,1/22/2021,3/2/2021,,,Public Record,-74.3959,42.9039
75 Muller Rd,North Bangor,NY,Land,56,2439360,,,1/11/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Franklin,12966-1296,,,2/3/2021,2/25/2021,,,Public Record,-74.46693,44.85429
248 Truman Rd,Burlington Flats,NY,Land,85.35,3717845,,,1/11/2021,Sold,,,,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13315-1331,,,1/15/2021,2/4/2021,,,Public Record,-75.06668,42.79694
109 Sunset St,Monongahela,PA,Land,0.38,16435,,,1/11/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/20/2021,2/4/2021,,,Public Record,-79.88868,40.17717
21 Corson Ln,Canonsburg,PA,Land,0.65,28314,,,1/9/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/27/2021,2/12/2021,,,Public Record,-80.22997,40.29312
2218 Shawnee Dr,Washington,PA,Land,0.57,24785,,"$301,000 ",1/8/2021,Sold,,"529,011.90",12.14,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/11/2021,1/27/2021,,,Public Record,-80.20848,40.21077
1447 Network Dr,Canonsburg,PA,Land,0.42,18443,,"$90,000 ",1/8/2021,Sold,,"212,568.45",4.88,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15317-1531,,,1/14/2021,2/3/2021,,,Public Record,-80.18229,40.28063
9426 Red Rd,Kempton,PA,Land,1.67,72658,,"$85,000 ",1/8/2021,Sold,,"50,959.29",1.17,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,19529-1952,,,1/8/2021,1/21/2021,,,Public Record,-75.7988,40.62064
1506 S Main St,Burgettstown,PA,Land,0.05,2278,,"$43,000 ",1/8/2021,Sold,,"822,247.59",18.88,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/12/2021,1/27/2021,,,Public Record,-80.39313,40.38268
4170 US-11,Mooers Forks,NY,Land,15.7,683892,,"$28,500 ",1/8/2021,Sold,,"1,815.29",0.04,,,,,,,,Agricultural,,Upstate New York Area,Suburban,Clinton,12958-1295,,,1/8/2021,2/5/2021,,,Public Record,-73.72144,44.92264
60 Pleasantview Rd,Finleyville,PA,Land,6,261360,,"$3,275 ",1/8/2021,Sold,,545.83,0.01,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/28/2021,2/12/2021,,,Public Record,-79.97349,40.23581
241 Liberty Pole Rd,Churubusco,NY,Land,142,6185520,,,1/8/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Clinton,12923-1292,,,2/1/2021,2/24/2021,,,Public Record,-73.90406,44.9933
15 Kirchner Dr,South Park Township,PA,Land,1.1,47916,,,1/8/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/20/2021,2/8/2021,,,Public Record,-80.03272,40.2841
780 Ninefoot Rd,Clyde,NY,Land,49.9,2173644,,"$326,290 ",1/7/2021,Sold,,"6,538.88",0.15,,,,,,,,Agricultural,,,Suburban,Seneca,13165-1443,,,1/21/2021,2/9/2021,,,Public Record,-76.92249,42.98851
651 Birdsey Rd,Waterloo,NY,Land,75.5,3288780,,"$263,125 ",1/7/2021,Sold,,"3,485.10",0.08,,,,,,,,Agricultural,,,Suburban,Seneca,13165-1316,,,1/29/2021,2/17/2021,,,Public Record,-76.87082,42.99504
10240 Cedar Lake Rd,Clayville,NY,Land,54.6,2378376,,"$175,350 ",1/7/2021,Sold,,"3,211.54",0.07,,,,,,,,Agricultural,,Herkimer County,Suburban,Herkimer,13322-1332,,,1/11/2021,2/19/2021,,,Public Record,-75.20991,42.96716
118 Greystone Dr,Canonsburg,PA,Land,0.29,12479,,"$90,000 ",1/7/2021,Sold,,"314,159.79",7.21,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/28/2021,2/12/2021,,,Public Record,-80.12456,40.25186
1931 Curll Rd,Clarion,PA,Land,40.03,1743706,,"$89,900 ",1/7/2021,Sold,,"2,245.82",0.05,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Clarion,,,,1/13/2021,1/29/2021,,,Public Record,-79.36592,41.1298
303 Cemetery Rd,Plattsburgh,NY,Land,10.1,439956,,"$30,000 ",1/7/2021,Sold,,"2,970.30",0.07,,,,,,,,Agricultural,,Upstate New York Area,Suburban,Clinton,12901-1290,,,1/13/2021,2/5/2021,,,Public Record,-73.37278,44.80132
6900 Gorton Rd,Basom,NY,Land,53.3,2321748,,"$26,000 ",1/7/2021,Sold,,487.81,0.01,,,,,,,,Agricultural,,,Suburban,Genesee,14013-1401,,,1/27/2021,3/9/2021,,,Public Record,-78.34942,43.07859
3005 Morning Thistle Ct,East Petersburg,PA,Land,17.76,773625,,"$738,000 ",1/6/2021,Sold,,"41,554.09",0.95,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17520-1752,,,1/7/2021,1/20/2021,,,Public Record,-76.34105,40.09691
558 Birch Dr,Houston,PA,Land,0.26,11443,,"$317,995 ",1/6/2021,Sold,,"1,210,509.67",27.79,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15342-1534,,,1/12/2021,2/1/2021,,,Public Record,-80.22133,40.24011
114 Henderson Dr,Canonsburg,PA,Land,0.2,8851,,"$37,500 ",1/6/2021,Sold,,"184,555.42",4.24,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/13/2021,1/29/2021,,,Public Record,-80.16049,40.30271
356 Yetter Rd,Muncy,PA,Land,20.33,885574,,,1/6/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Lycoming,17756-1775,,,1/8/2021,2/25/2021,,,Public Record,-76.80332,41.23318
Stockdill Rd,Sligo,PA,Land,100,4356000,,,1/6/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Clarion,,,,1/15/2021,2/8/2021,,,Public Record,-79.47324,41.14133
2372 Huckleberry Ridge,Sligo,PA,Land,11.16,486129,,,1/6/2021,Sold,,,,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Clarion,,,,1/11/2021,1/29/2021,,,Public Record,-79.46213,41.12758
3912 Finleyville Elrama Rd,Finleyville,PA,Land,0.32,14078,,"$229,900 ",1/5/2021,Sold,,"711,354.17",16.33,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15332-1533,,,1/6/2021,1/27/2021,,,Public Record,-79.97418,40.25495
4522 Timberline Rd,Walnutport,PA,Land,5.37,233917,,"$140,000 ",1/5/2021,Sold,,"26,070.79",0.6,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18088-1808,,,1/6/2021,1/18/2021,,,Public Record,-75.57049,40.78561
3038 Cincinnatus Rd,Cincinnatus,NY,Land,18.91,823719,,"$62,000 ",1/5/2021,Sold,,"3,278.69",0.08,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13040-1304,,,2/24/2021,3/10/2021,,,Public Record,-75.89018,42.55381
8183 NY-274,Holland Patent,NY,Land,18.4,801503,,"$48,000 ",1/5/2021,Sold,,"2,608.70",0.06,,,,,,,,Agricultural,,Outlying Oneida County,Suburban,Oneida,13354-1335,,,1/8/2021,3/4/2021,,,Public Record,-75.26471,43.25814
236 Lang Hill Rd,Granville,NY,Land,22.6,984456,,,1/5/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,12832-1283,,,1/15/2021,3/3/2021,,,Public Record,-73.30461,43.32073
577 Ridge Rd,Jersey Shore,PA,Land,10.79,470012,,,1/5/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Lycoming,17745-1774,,,1/7/2021,2/23/2021,,,Public Record,-77.27718,41.2642
3231 US-11,De Kalb Junction,NY,Land,165.9,7226604,,,1/5/2021,Sold,,,,,,,,,,,Agricultural,,Upstate New York Area,Suburban,St Lawrence,13630-1363,,,1/7/2021,2/4/2021,,,Public Record,-75.35471,44.45616
148 Carbridge Rd W,Stewartstown,PA,Land,30.54,1330413,,,1/5/2021,Sold,,,,,,,,,,,Agricultural,,York County,Suburban,York,17363-1736,,,1/25/2021,2/4/2021,,,Public Record,-76.63813,39.79283
11 Poplar St,West Alexander,PA,Land,0.17,7501,,,1/5/2021,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/6/2021,1/22/2021,,,Public Record,-80.51463,40.10288
16030 Thompson Rd,Conneautville,PA,Land,66.67,2904145,,"$120,000 ",1/4/2021,Sold,,"1,799.91",0.04,,,,,,,,Agricultural,,Erie/Pennsylvania Northwest Area,Suburban,Crawford,16406-1640,,,1/5/2021,2/5/2021,,,Public Record,-80.31393,41.68804
889 Co Rd 98,Rexville,NY,Land,60.2,2622312,,"$92,000 ",1/4/2021,Sold,,"1,528.24",0.04,,,,,,,,Agricultural,,,Suburban,Steuben,14877-1487,,,1/12/2021,2/17/2021,,,Public Record,-77.6804,42.04476
148 Moon Hill Rd,Norwich,NY,Land,30.88,1345132,,"$37,500 ",1/4/2021,Sold,,"1,214.38",0.03,,,,,,,,Agricultural,,,Suburban,Chenango,13815-1381,,,2/1/2021,3/1/2021,,,Public Record,-75.59412,42.59068
110 Smithfield St,Canonsburg,PA,Land,0.13,5749,,"$33,250 ",1/4/2021,Sold,,"251,934.25",5.78,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/5/2021,1/21/2021,,,Public Record,-80.18491,40.26224
Unnamed Road,Adams,NY,Land,50,2178000,,"$5,000 ",1/4/2021,Sold,,100,0,,,,,,,,Agricultural,,Jefferson County,Suburban,Jefferson,13606-1360,,,1/28/2021,3/4/2021,,,Public Record,-76.07474,43.83237
8967 Persia Rd,Gowanda,NY,Land,95.8,4173048,,,1/4/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Cattaraugus,14070-1407,,,1/7/2021,3/2/2021,,,Public Record,-78.94332,42.38304
753 Laurel Ln,New Albany,PA,Land,115,5009400,,,1/4/2021,Sold,,,,,,,,,,,Agricultural,,,Suburban,Bradford,18833-1883,,,1/15/2021,2/25/2021,,,Public Record,-76.52652,41.61554
4852 PA-861,Rimersburg,PA,Land,30,1306800,,,1/4/2021,Sold,,,,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Clarion,,,,1/6/2021,1/27/2021,,,Public Record,-79.44113,41.01959
5721 NY-83,Gerry,NY,Land,3,130680,,"$615,036 ",12/31/2020,Sold,,"205,012.00",4.71,,,,,,,,Agricultural,,,Suburban,Chautauqua,14726-1474,,,1/19/2021,2/19/2021,,,Public Record,-79.06737,42.24833
4833 S Cypress Dr,Walnutport,PA,Land,1.09,47480,,"$278,259 ",12/31/2020,Sold,,"255,285.64",5.86,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18088-1808,,,1/20/2021,2/3/2021,,,Public Record,-75.59119,40.77266
6166 Pease Hill Rd,Truxton,NY,Land,66.5,2896740,,"$155,000 ",12/31/2020,Sold,,"2,330.83",0.05,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13158-1315,,,1/26/2021,2/5/2021,,,Public Record,-75.94687,42.70406
1835 Cummings Rd,Sidney Center,NY,Land,140.8,6133248,,"$75,000 ",12/31/2020,Sold,,532.67,0.01,,,,,,,,Agricultural,,,Suburban,Delaware,13839-1383,,,1/19/2021,2/12/2021,,,Public Record,-75.29552,42.25438
2236 Co Rd 211A,Marcellus,NY,Land,10.3,448668,,"$75,000 ",12/31/2020,Sold,,"7,281.55",0.17,,,,,,,,Agricultural,,W Outer Onondaga County,Suburban,Onondaga,13108-1310,,,1/7/2021,2/9/2021,,,Public Record,-76.35257,42.95864
8320 Zimmerman Rd,Hamburg,NY,Land,3.02,131551,,"$62,500 ",12/31/2020,Sold,,"20,695.40",0.48,,,,,,,,Agricultural,,Outlying Erie County,Suburban,Erie,14025-1407,,,1/8/2021,2/2/2021,,,Public Record,-78.77726,42.65701
96 Hill Rd,Hegins,PA,Land,53.18,2316520,,"$8,675 ",12/31/2020,Sold,,163.13,0,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17938-1793,,,1/5/2021,3/2/2021,,,Public Record,-76.42775,40.68325
105 11th St,Monongahela,PA,Land,0.06,2500,,$500 ,12/31/2020,Sold,,"8,712.00",0.2,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15063-1506,,,1/7/2021,1/22/2021,,,Public Record,-79.93505,40.20623
5969 PA-309,Germansville,PA,Land,42,1829520,,,12/31/2020,Sold,,,,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,18053-1805,,,1/6/2021,1/17/2021,,,Public Record,-75.6614,40.68365
9134 Kings Hwy,Kempton,PA,Land,92.05,4009698,,"$585,000 ",12/30/2020,Sold,,"6,355.24",0.15,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,19529-1952,,,12/31/2020,1/13/2021,,,Public Record,-75.84709,40.65507
13381 PA-616,Glen Rock,PA,Land,54.07,2355480,,"$161,478 ",12/30/2020,Sold,,"2,986.22",0.07,,,,,,,,Agricultural,,York County,Suburban,York,17327-1732,,,1/12/2021,1/29/2021,,,Public Record,-76.71315,39.7707
203 Christy Rd,Eighty Four,PA,Land,0.89,38886,,"$140,000 ",12/30/2020,Sold,,"156,827.65",3.6,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,12/31/2020,1/18/2021,,,Public Record,-80.16875,40.20801
3448 Cooper St,Stone Ridge,NY,Land,107.7,4691412,,"$135,000 ",12/30/2020,Sold,,"1,253.48",0.03,,,,,,,,Agricultural,,,Suburban,Ulster,12484-1248,,,1/22/2021,2/12/2021,,,Public Record,-74.14449,41.85383
119 N Ash Rd,Newmanstown,PA,Land,21.76,947865,,"$130,000 ",12/30/2020,Sold,,"5,974.27",0.14,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17073-1707,,,1/6/2021,1/21/2021,,,Public Record,-76.21218,40.35614
33 W Monessen St,Monongahela,PA,Land,0.22,9679,,"$100,000 ",12/30/2020,Sold,,"450,046.49",10.33,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,12/31/2020,1/18/2021,,,Public Record,-79.89458,40.17116
Scriver Rd,Mooers Forks,NY,Land,31,1350360,,"$23,000 ",12/30/2020,Sold,,741.94,0.02,,,,,,,,Agricultural,,Upstate New York Area,Suburban,Clinton,12959-1295,,,12/30/2020,1/14/2021,,,Public Record,-73.69153,44.99665
164 Bluestone Dr,Unadilla,NY,Land,14.07,612889,,"$14,000 ",12/30/2020,Sold,,995.03,0.02,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13849-1384,,,1/7/2021,1/28/2021,,,Public Record,-75.33189,42.39156
1134 Marelda Ave,Donora,PA,Land,0.08,3628,,"$3,000 ",12/30/2020,Sold,,"36,019.85",0.83,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/4/2021,1/20/2021,,,Public Record,-79.85871,40.18458
12 Airport Rd,Dushore,PA,Land,41.37,1802077,,"$1,379 ",12/30/2020,Sold,,33.33,0,,,,,,,,Agricultural,,,Suburban,Sullivan,18614-1861,,,1/13/2021,2/22/2021,,,Public Record,-76.4684,41.51696
546 Hesker Hill Rd,Jersey Shore,PA,Land,135.13,5886262,,,12/30/2020,Sold,,,,,,,,,,,Agricultural,,,Suburban,Lycoming,17740-1774,,,1/14/2021,2/23/2021,,,Public Record,-77.23476,41.23917
13485 PA-198,Conneautville,PA,Land,15,653400,,,12/30/2020,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,,,,12/31/2020,2/16/2021,,,Public Record,-80.26822,41.71429
564000 US-20A,Warsaw,NY,Land,95.13,4143862,,,12/30/2020,Sold,,,,,,,,,,,Agricultural,,New York West Area,Suburban,Wyoming,14569-1456,,,12/31/2020,2/3/2021,,,Public Record,-78.22988,42.74766
1482 US-11,Marathon,NY,Land,16.2,705672,,,12/30/2020,Sold,,,,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13803-1380,,,12/30/2020,1/14/2021,,,Public Record,-76.06019,42.47776
2032 Bedminster Rd,Perkasie,PA,Land,96,4181760,,"$675,000 ",12/29/2020,Sold,"745,000","7,031.25",0.16,2032 Bedminster Rd,,,,,,,Agricultural,01R2,Upper Bucks County,Suburban,Bucks,18944,,,1/11/2021,1/26/2021,,,Public Record,-75.22219,40.3866
6639 Co Rd 43,Angelica,NY,Land,22.7,988812,,"$368,000 ",12/29/2020,Sold,,"16,211.45",0.37,,,,,,,,Agricultural,,New York West Area,Suburban,Allegany,14709-1470,,,12/31/2020,2/1/2021,,,Public Record,-78.05493,42.2874
300 Ridge Church Rd,Amity,PA,Land,0.2,8712,,"$315,110 ",12/29/2020,Sold,,"1,575,550.00",36.17,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/5/2021,1/21/2021,,,Public Record,-80.15439,40.04606
322 Spindle Ct,Canonsburg,PA,Land,0.3,13068,,"$106,000 ",12/29/2020,Sold,,"353,333.33",8.11,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,12/30/2020,1/13/2021,,,Public Record,-80.1551,40.25095
174 Hardknocks Rd,Unadilla,NY,Land,38.73,1687078,,"$60,000 ",12/29/2020,Sold,,"1,549.19",0.04,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13849-1384,,,2/1/2021,2/18/2021,,,Public Record,-75.32974,42.36053
5648 Brake Hill Rd,Homer,NY,Land,32,1393920,,"$30,000 ",12/29/2020,Sold,,937.5,0.02,,,,,,,,Agricultural,,Cortland County,Suburban,Cortland,13077-1307,,,1/19/2021,2/2/2021,,,Public Record,-76.20549,42.67885
499-295 NY-176,Hannibal,NY,Land,45.28,1972396,,"$22,222 ",12/29/2020,Sold,,490.77,0.01,,,,,,,,Agricultural,,Oswego County,Suburban,Oswego,13074-1307,,,1/5/2021,3/10/2021,,,Public Record,-76.51445,43.2619
1017 Shutterly St,California,PA,Land,0.26,11521,,"$11,000 ",12/29/2020,Sold,,"41,590.14",0.96,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/6/2021,1/22/2021,,,Public Record,-79.89102,40.05789
4445 Edgewood Dr,Cochranton,PA,Land,37,1611720,,,12/29/2020,Sold,,,,,,,,,,,Agricultural,,,Suburban,Crawford,16335-1631,,,12/30/2020,2/9/2021,,,Public Record,-79.96202,41.52851
4799 M Clark Rd,Castile,NY,Land,99.82,4348159,,,12/29/2020,Sold,,,,,,,,,,,Agricultural,,New York West Area,Suburban,Wyoming,14427-1442,,,12/31/2020,2/2/2021,,,Public Record,-78.04375,42.65853
144 Maiolie Rd,Export,PA,Land,128.2,5584391,,,12/29/2020,Sold,,,,,,,,,,,Agricultural,,Westmoreland County,Suburban,Westmoreland,,,,1/15/2021,1/29/2021,,,Public Record,-79.60093,40.45049
134 Low Hill Rd,Brownsville,PA,Land,0.15,6481,,,12/29/2020,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/11/2021,1/27/2021,,,Public Record,-79.91719,40.0222
3995 Overview Dr,Canonsburg,PA,Land,0.28,12196,,"$477,800 ",12/28/2020,Sold,,"1,706,540.51",39.18,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15205-1531,,,12/31/2020,1/18/2021,,,Public Record,-80.19236,40.29716
40 N Farmersville Rd,Ephrata,PA,Land,24.52,1068091,,,12/28/2020,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17522-1752,,,12/29/2020,2/19/2021,,,Public Record,-76.16429,40.13022
24840 Allen Rd,La Fargeville,NY,Land,87,3789720,,,12/28/2020,Sold,,,,,,,,,,,Agricultural,,Jefferson County,Suburban,Jefferson,13656-1365,,,1/7/2021,2/2/2021,,,Public Record,-75.87588,44.28808
1627 County Rte 34,Genoa,NY,Land,267.4,11647943,,,12/28/2020,Sold,,,,,,,,,,,Agricultural,,Syracuse Surrounding,Suburban,Cayuga,13147-1307,,,12/29/2020,1/31/2021,,,Public Record,-76.55534,42.69725
28 Beurys Rd,Ashland,PA,Land,5.88,256132,,,12/28/2020,Sold,,,,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17921-1792,,,12/31/2020,1/18/2021,,,Public Record,-76.40508,40.72104
131 Forest Ave,Eagles Mere,PA,Land,109,4748040,,"$1,550,000 ",12/26/2020,Sold,,"14,220.18",0.33,,,,,,,,Agricultural,,,Suburban,Sullivan,17731-1773,,,12/31/2020,2/8/2021,,,Public Record,-76.58421,41.42603
532 Highland Ave,Canonsburg,PA,Land,0.1,4199,,,12/24/2020,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,2/17/2021,3/8/2021,,,Public Record,-80.17733,40.26962
1020 Sabino Dr,Washington,PA,Land,0.23,9888,,"$409,650 ",12/23/2020,Sold,,"1,804,647.45",41.43,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15301-1530,,,1/4/2021,1/20/2021,,,Public Record,-80.23695,40.21827
318 Bomboy Blvd Rd,Unityville,PA,Land,108.98,4747168,,"$180,000 ",12/23/2020,Sold,,"1,651.68",0.04,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Lycoming,17774-1777,,,12/28/2020,1/20/2021,,,Public Record,-76.558,41.22959
47 Caitlin Trail,West Henrietta,NY,Land,12.52,545371,,"$165,000 ",12/23/2020,Sold,,"13,178.92",0.3,,,,,,,,Agricultural,,South Central,Suburban,Monroe,14467-1458,,,12/28/2020,2/11/2021,,,Public Record,-77.66455,43.02371
305 Clark St,Washington,PA,Land,0.17,7248,,"$141,000 ",12/23/2020,Sold,,"847,400.66",19.45,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,12/28/2020,1/14/2021,,,Public Record,-80.25742,40.18155
Unnamed Road,Hurleyville,NY,Land,38.58,1680544,,"$70,000 ",12/23/2020,Sold,,"1,814.41",0.04,,,,,,,,Agricultural,,,Suburban,Sullivan,12747-1274,,,1/11/2021,2/12/2021,,,Public Record,-74.69501,41.74802
